sample_id,miR21_expression,miR21_log2,miR21_zscore
P-009,91644.75,16.4838,0.13135915706983517
P-081,107077.4531,16.7083,0.5157481424279068
P-097,96209.57813,16.5539,0.2513844037228442
P-179,62607.08984,15.9341,-0.8098373919338561
P-201,78599.28125,16.2622,-0.2480644471856088
P-211,77959.36719,16.2505,-0.26809719163411583
P-229,93048.36719,16.5057,0.16885634539652797
P-243,101836.5469,16.6359,0.3917848349004023
P-262,152395.25,17.2175,1.38760057603293
P-263,82379.65625,16.33,-0.13197726140709523
P-264,92953.20313,16.5042,0.1662880448262067
P-267,77302.99219,16.2383,-0.28898603627272795
P-277,76337.89063,16.2201,-0.32014808319262505
P-282,107667.3828,16.7162,0.529274525431597
P-298,106962.8203,16.7068,0.5131798418575855
P-310,60644.41016,15.8881,-0.8885986094237069
P-335,134183.9375,17.0339,1.0732405862256165
P-336,145988.2969,17.1555,1.2814441524596534
P-337,114322.3672,16.8028,0.67755107835814
P-353,103683.09,16.6618,0.43613082474794773
P-354,92182.3125,16.4922,0.14574164026363665
P-367,112136.2969,16.7749,0.629780687750162
P-397,111256.7891,16.7635,0.6102616034157242
P-399,113950.9297,16.7981,0.6695037365711342
P-401,116818.7578,16.8339,0.7308005101827962
P-406,84410.24219,16.3651,-0.07187902806157412
P-410,128924.4609,16.9762,0.9744466242872616
P-411,104779.2813,16.677,0.4621562705272023
P-412,84379.32813,16.3646,-0.07273512825168525
P-413,97532.42969,16.5736,0.28511475121306257
P-417,112389.6563,16.7782,0.6354309490048676
P-418,83022.03906,16.3412,-0.11280061714869324
P-420,98854.47656,16.593,0.3183314385892179
P-421,110287.2266,16.7509,0.588687878625028
P-423,108220.9688,16.7236,0.5419448082451823
P-426,116168.9922,16.8259,0.7171029071410849
P-427,84673.61719,16.3696,-0.06417412635061642
P-429,63693.82813,15.9589,-0.7673748225045478
P-433,82980.71875,16.3405,-0.11399915741484641
P-434,113019.7969,16.7862,0.649128552046585
P-438,120546.5234,16.8792,0.808363187406497
P-442,70749.72656,16.1105,-0.5078052448640918
P-443,90877.47656,16.4717,0.11064153246924409
P-454,94663.75,16.5305,0.2113189148258362
P-455,80341.85156,16.2939,-0.19378769513282035
P-457,147678.1563,17.1721,1.3098666787712083
P-460,75839.50781,16.2107,-0.33624276676663667
P-464,84522.21875,16.3671,-0.0684546273011478
P-466,130871.3203,16.9978,1.0114301524998914
P-467,114894.6719,16.81,0.6898789210956772
P-468,83633.64063,16.3518,-0.09465129311842342
P-469,92111.82031,16.4911,0.14385821984539943
P-471,131177.0156,17.0012,1.0172516337926178
P-474,147373.2031,17.1691,1.3047300776305657
P-478,100697.7422,16.6197,0.36404718874093756
P-479,151478.2031,17.2088,1.3727044327250655
P-481,107621.7813,16.7156,0.5282472052034649
P-482,82780.03906,16.337,-0.11999185874559398
P-483,86462.09375,16.3998,-0.012465674868149229
P-484,134040.5625,17.0323,1.0705010656172742
P-485,147725.375,17.1726,1.3107227789613134
P-487,102868.5469,16.6505,0.4167829604515308
P-488,94151.64063,16.5227,0.19796375186016688
P-491,76840.67969,16.2296,-0.3038821795805864
P-493,83656.5625,16.3522,-0.09396641296633937
P-500,62032.12109,15.9208,-0.8326096569907053
P-503,134673.9063,17.0391,1.0821440282027335
P-504,105486.9688,16.6867,0.47876461421527694
P-505,91578.09375,16.4827,0.12947573665160403
P-506,132440.2656,17.015,1.0408799990395723
P-507,104042.25,16.6668,0.4446918266490166
P-509,142272.0781,17.1183,1.2177502983156911
P-510,69030.4375,16.075,-0.568588358361691
P-512,94007.02344,16.5205,0.19419691102369246
P-513,132232.7188,17.0127,1.0369419381650768
P-516,91787.27344,16.486,0.13512599790630958
P-519,68689.64063,16.0678,-0.5809162010992341
P-520,73110.14844,16.1578,-0.42681816687995866
P-524,111557.3438,16.7674,0.6169391848985558
P-525,91145.25781,16.4759,0.11783277406614483
P-526,99363.70313,16.6004,0.3310017214028032
P-527,67287.17188,16.0381,-0.6317685523915902
P-529,125935.5391,16.9423,0.9164030313980048
P-531,147480.9063,17.1702,1.306613498048803
P-532,118061.2109,16.8492,0.7569971760000719
P-533,126499.5625,16.9488,0.9275323338693949
P-535,128304.7813,16.9692,0.9624612216257664
P-536,113914.1797,16.7976,0.668647636381023
P-537,114443.9766,16.8043,0.6801193789284612
P-538,121139.6172,16.8863,0.8205198101060132
P-115,145484.2813,17.1505,1.2728831505585845
P-121,125336.6563,16.9355,0.9047600688125517
P-124,71930.71094,16.1343,-0.4670548758149938
P-125,126082.0625,16.944,0.9193137720443681
P-126,119322.25,16.8645,0.7831938418173475
