"ID_REF"	"GSM760507"	"GSM760508"	"GSM760509"	"GSM760510"	"GSM760511"	"GSM760512"	"GSM760513"	"GSM760514"	"GSM760515"	"GSM760516"	"GSM760517"	"GSM760518"	"GSM760519"	"GSM760520"	"GSM760521"	"GSM760522"	"GSM760523"	"GSM760524"	"GSM760525"	"GSM760526"	"GSM760527"	"GSM760528"	"GSM760529"	"GSM760530"	"GSM760531"	"GSM760532"	"GSM760533"	"GSM760534"	"GSM760535"	"GSM760536"	"GSM760537"	"GSM760538"	"GSM760539"	"GSM760540"	"GSM760541"	"GSM760542"	"GSM760543"	"GSM760544"	"GSM760545"	"GSM760546"	"GSM760547"	"GSM760548"	"GSM760549"	"GSM760550"	"GSM760551"	"GSM760552"	"GSM760553"
78	59.39787791	54.33263287	52.28931661	62.06580309	64.48277383	60.12940869	60.09531022	53.89321329	48.7822049	52.95778429	66.4902966	60.06464205	68.72220224	50.47947464	93.32808254	52.74443707	54.54296168	63.83567222	53.26051833	68.30363422	62.39183661	61.86795256	60.04577477	64.61211834	77.50353547	58.19480669	86.92488932	74.48641279	62.05993422	59.64013098	56.96585559	61.91816704	56.60742628	64.33421202	78.15983567	62.05406591	62.86261163	66.39459857	54.64721072	56.30356513	64.33012613	63.46945309	93.22798057	62.59017947	55.35438918	52.94094946	57.63505459
79	515.9168799	479.703956	623.5136132	628.0903477	479.703956	476.8920223	933.6723087	363.3341869	356.156923	407.996328	275.371611	626.8495215	406.1904001	144.2021221	717.7743171	503.248932	340.8971167	560.7902933	481.2410551	588.3897583	283.7551942	355.3494455	327.4132071	448.8042625	455.1622727	281.5330425	273.7773781	542.6688831	427.6365481	241.2612882	243.2743489	138.5393059	119.7951802	225.9335408	288.9678635	580.8370534	460.0492321	197.9275665	262.7270573	158.4786511	202.673315	140.7463948	257.7502916	385.1551413	219.2802608	387.2501531	143.1903514
86	49.78958207	54.33263287	54.64721072	60.98327965	52.7478482	52.32765427	62.14002303	51.72225617	45.89360688	49.25739167	49.21182318	54.47775216	45.33247253	49.1333062	119.0825381	52.97639531	43.42401868	46.24827671	49.35113303	55.87566433	51.34361052	47.35440169	48.19377337	48.00277445	68.36341088	51.22902234	58.48358659	49.08236841	48.43278906	49.43477799	83.66686373	50.49147654	47.32615458	54.36402191	66.13569069	49.25739167	51.1708179	55.81050057	50.87645656	55.30191675	61.35978599	55.33935399	81.80731975	45.17076019	52.82614793	44.90210174	50.18422486
92	60.50577717	52.91200444	53.50111105	69.1149615	52.7478482	61.49625751	61.50748792	53.89321329	53.8330102	55.14221946	64.90232896	52.27660329	62.08278113	55.41067862	93.32808254	54.77875262	57.61600854	60.87444755	53.55540058	61.77628462	66.00210807	56.89217327	58.26240754	53.50976823	64.18595679	56.54037798	75.4215559	60.70978025	55.3998137	55.7886131	82.60072076	59.90767005	57.39463013	57.92374519	63.40117624	52.91200444	49.55890775	63.62622361	53.28858201	61.07232963	76.87746723	64.46420888	84.83271788	98.35932261	56.62269425	52.25711218	64.45250634
99	69.96402143	74.50503391	62.0989249	60.09259557	130.42036	128.1727608	67.75151625	52.73455052	70.99785866	61.51872038	170.8074298	69.54742156	72.92402605	94.42392436	52.24469058	63.95637633	62.258017	60.87444755	87.22862266	52.10196889	198.9310468	64.64212461	72.69460301	55.93807395	69.25733297	68.80104696	84.62302819	60.70978025	61.51872038	78.07598565	69.73996814	111.9814951	65.89178096	83.63344963	70.21014643	64.59230035	83.81894648	77.74110414	59.29801333	68.78908537	71.48901955	73.938857	74.49671465	90.93418232	72.9696092	101.0536374	94.27498909
108	75.7092767	92.20518998	65.86511417	320.6317175	236.124773	128.8010606	78.76376133	397.5750953	495.1414448	143.1903514	295.0131994	202.4995179	267.6179295	522.7009966	52.56206026	108.4644419	382.3656231	91.76870505	93.15001769	240.7232571	341.4937099	285.8123051	243.7901495	67.66750859	69.25733297	86.22222404	402.6667577	126.4976955	259.8630441	177.9124918	439.4270486	67.86232771	108.0575222	73.86860206	72.94719702	220.6739982	177.4743718	401.0643206	128.3184702	93.31008418	73.70117727	151.7766885	69.45846469	460.0492321	655.204437	185.7422893	337.5125505
114	53.84159057	52.43301641	52.28931661	54.33263287	49.91368686	58.76089964	52.04033162	48.3765542	51.06850813	56.82592669	55.59658164	55.35438918	51.94254512	49.1333062	56.36325579	52.23744943	54.1164566	50.92512716	54.16963429	59.78715471	52.86066475	63.33676142	90.8876906	60.94500593	64.18595679	51.22902234	59.53222824	65.47031851	53.45526261	225.4015639	120.0545799	53.00787938	48.63145398	55.7886131	47.21910987	50.49147654	58.61664655	257.7502916	256.8996212	47.75207983	52.38823278	51.75124027	69.45846469	49.20275851	266.4750687	77.24550732	126.4976955
116	111.334874	111.6031053	156.0001637	115.5586565	88.43632799	78.03052805	67.24424562	51.72225617	159.7084396	207.6964855	98.93552075	133.2052107	120.9448291	46.79507249	52.56206026	163.0405441	85.51818315	132.533536	164.6082697	103.3923442	79.84018923	63.68313679	117.6342139	129.7225254	161.6069335	105.6982552	112.5903105	109.7829223	132.248475	155.0991031	169.5895615	59.42726641	61.84451555	62.59017947	76.95961411	92.40477822	92.50178649	88.5788546	147.0694529	70.08840835	58.62227736	53.39319303	98.35932261	65.91297197	98.93552075	65.95435489	71.11257623
119	68.1877535	67.74193867	64.40898433	63.67820087	63.41408637	64.86302583	65.92652523	68.32401715	50.05115439	55.14221946	57.50025586	60.06464205	58.71194846	77.75938888	51.61511468	54.5163253	52.19351486	58.26240754	62.59671553	62.76022665	63.76469302	83.66686373	53.66937969	63.62622361	58.61664655	56.54037798	64.26159731	109.7829223	60.4211867	56.61734007	51.84561717	61.91816704	54.19644932	60.09531022	70.21014643	58.592192	56.77659214	57.61600854	55.22449946	54.1164566	69.92566866	61.44580623	101.220693	61.60062193	55.35438918	58.48358659	63.48970929
121	5542.06852	998.0952031	1129.170502	1399.870069	11338.73476	10747.73864	10747.73864	611.3775924	5164.046968	3045.077418	4938.237874	5542.06852	5346.045915	3389.829733	3579.513869	10747.73864	11005.76635	2342.60193	10747.73864	3389.829733	5986.149445	4796.71951	7266.241161	6513.052069	3790.812413	5848.4815	5346.045915	2082.446395	7824.553889	5058.125682	5346.045915	8990.497751	8990.497751	8990.497751	792.9114878	2595.432818	1873.783471	7824.553889	9799.890016	5346.045915	2188.354704	4595.49841	1809.605885	1577.097696	9799.890016	9799.890016	8382.899257
